"District","Representative","Party","Party","Prior experience","Education","Assumed office","Born in"
"Colorado 1","DeGette, DianaDiana DeGette",NA,"Democratic","Colorado House of Representatives","Colorado College","1997",1957
"Colorado 2","Polis, JaredJared Polis",NA,"Democratic","Colorado State Board of Education, Internet Executive","Princeton University","2009",1975
"Colorado 3","Tipton, ScottScott Tipton",NA,"Republican","Colorado House of Representatives","Fort Lewis College","2011",1956
"Colorado 4","Buck, KenKen Buck",NA,"Republican","Weld County District Attorney, Prosecutor U.S. Attorney's Office","Princeton University, University of Wyoming","2015",1959
"Colorado 5","Lamborn, DougDoug Lamborn",NA,"Republican","President pro tempore of the Colorado Senate, Colorado House of Representatives","University of Kansas","2007",1954
"Colorado 6","Coffman, MikeMike Coffman",NA,"Republican","Secretary of State of Colorado, Colorado State Treasurer, Colorado Senate, Colorado House of Representatives","University of Colorado","2009",1955
"Colorado 7","Perlmutter, EdEd Perlmutter",NA,"Democratic","Colorado Senate","University of Colorado","2007",1953
"Connecticut 1","Larson, John B.John B. Larson",NA,"Democratic","Connecticut Senate, East Hartford, Connecticut City Council, East Hartford, Connecticut Board of Education","Central Connecticut State University","1999",1948
"Connecticut 2","Courtney, JoeJoe Courtney",NA,"Democratic","Connecticut House of Representatives","Tufts University","2007",1953
"Connecticut 3","DeLauro, RosaRosa DeLauro",NA,"Democratic","Executive Director of EMILY's List, Political aide","Marymount College","1991",1943
"Connecticut 4","Himes, JimJim Himes",NA,"Democratic","Financial executive, Greenwich Housing Authority Board","Harvard UniversityUniversity of Oxford","2009",1966
"Connecticut 5","Esty, ElizabethElizabeth Esty",NA,"Democratic","Connecticut House of Representatives","Harvard UniversityYale University","2013",1959
"Delaware At Large","Blunt Rochester, LisaLisa Blunt Rochester",NA,"Democratic","Delaware Labor Secretary, Delaware Personnel Director","Fairleigh Dickinson UniversityUniversity of Delaware","2017",1962
"Florida 1","Gaetz, MattMatt Gaetz",NA,"Republican","Florida House of Representatives","Florida State UniversityCollege of William & Mary","2017",1982
"Florida 2","Dunn, NealNeal Dunn",NA,"Republican","Surgeon","Washington & Lee UniversityGeorge Washington University School of Medicine & Health Sciences","2017",1953
"Florida 3","Yoho, TedTed Yoho",NA,"Republican","Veterinarian","University of Florida","2013",1955
"Florida 4","Rutherford, JohnJohn Rutherford",NA,"Republican","Sheriff of Jacksonville","Florida State UniversityFBI Academy","2017",1952
"Florida 5","Lawson, AlAl Lawson",NA,"Democratic","Florida Senate","Florida A&M University","2017",1948
"Florida 6","DeSantis, RonRon DeSantis",NA,"Republican","Prosecutor U.S. Attorney's Office, U.S. Navy","Yale UniversityHarvard Law School","2013",1978
"Florida 7","Murphy, StephanieStephanie Murphy",NA,"Democratic","Advisor, educator","College of William & MaryGeorgetown University","2017",1978
"Florida 8","Posey, BillBill Posey",NA,"Republican","Florida Senate, Florida House of Representatives, Rockledge, Florida City Council","Nova Southeastern University","2009",1947
"Florida 9","Soto, DarrenDarren Soto",NA,"Democratic","Florida Senate, Florida House of Representatives","Rutgers UniversityGeorge Washington University","2017",1978
"Florida 10","Demings, ValVal Demings",NA,"Democratic","Chief of the Orlando Police Department","Florida State University","2017",1957
"Florida 11","Webster, DanielDaniel Webster",NA,"Republican","Florida SenateSpeaker of Florida House of Representatives","Georgia Institute of Technology","2011",1949
"Florida 12","Bilirakis, GusGus Bilirakis",NA,"Republican","Florida House of Representatives","University of FloridaStetson University College of Law","2007",1963
"Florida 13","Crist, CharlieCharlie Crist",NA,"Democratic","Governor of Florida, Attorney General of Florida, Education Commissioner of Florida, Florida Senate","Wake Forest UniversityFlorida State UniversitySamford University","2017",1956
"Florida 14","Castor, KathyKathy Castor",NA,"Democratic","Assistant General Counsel to the Florida Department of Community Affairs, President of the Florida Association of Women Lawyers, Hillsborough County, Florida Board of Commissioners","Emory University","2007",1966
"Florida 15","Ross, DennisDennis Ross",NA,"Republican","Florida House of Representatives","Auburn UniversityCumberland School of Law","2011",1959
"Florida 16","Buchanan, VernVern Buchanan",NA,"Republican","Auto Dealer","Cleary University","2007",1951
"Florida 17","Rooney, TomTom Rooney",NA,"Republican","Criminal Prosecutor Florida Department of Justice, Attorney","Washington & Jefferson CollegeUniversity of Florida","2009",1970
"Florida 18","Mast, BrianBrian Mast",NA,"Republican","U.S. Army Soldier","None","2017",1980
"Florida 19","Rooney, FrancisFrancis Rooney",NA,"Republican","United States Ambassador to the Holy See","Georgetown University","2017",1953
"Florida 20","Hastings, AlceeAlcee Hastings",NA,"Democratic","Judge of the United States District Court for the Southern District of Florida","Fisk University","1993",1936
"Florida 21","Deutch, TedTed Deutch",NA,"Democratic","Florida Senate","University of MichiganUniversity of Michigan Law School","2010*",1966
"Florida 22","Frankel, LoisLois Frankel",NA,"Democratic","Mayor of West Palm Beach, Florida House of Representatives","Boston UniversityGeorgetown University Law Center","2013",1948
"Florida 23","Wasserman Schultz, DebbieDebbie Wasserman Schultz",NA,"Democratic","Florida Senate, Florida House of Representatives","University of Florida","2005",1966
"Florida 24","Wilson, FredericaFrederica Wilson",NA,"Democratic","Florida Senate, Florida House of Representatives, Miami-Dade County Public Schools Board","Fisk UniversityUniversity of Miami","2011",1942
"Florida 25","Díaz-Balart, MarioMario Díaz-Balart",NA,"Republican","Florida Senate, Florida House of Representatives","University of South Florida","2003",1961
"Florida 26","Curbelo, CarlosCarlos Curbelo",NA,"Republican","Public administrator, Miami-Dade County Public Schools Board","University of Miami","2015",1980
"Florida 27","Ros-Lehtinen, IleanaIleana Ros-Lehtinen",NA,"Republican","Florida Senate, Florida House of Representatives","Florida International UniversityUniversity of Miami","1989*",1952
"Georgia 1","Carter, BuddyBuddy Carter",NA,"Republican","Georgia State Senate, Georgia House of Representatives, Mayor of Pooler","Young Harris CollegeUniversity of Georgia","2015",1957
"Georgia 2","Bishop, SanfordSanford Bishop",NA,"Democratic","Georgia State Senate, Georgia House of Representatives","Morehouse College","1993",1947
"Georgia 3","Ferguson, DrewDrew Ferguson",NA,"Republican","Mayor of West Point, Georgia","University of GeorgiaMedical College of Georgia","2017",1966
"Georgia 4","Johnson, HankHank Johnson",NA,"Democratic","DeKalb County, Georgia Commissioner, Associate Magistrate Judge","Clark Atlanta University","2007",1954
"Georgia 5","Lewis, JohnJohn Lewis",NA,"Democratic","Atlanta City Council, Chairman of the Student Nonviolent Coordinating Committee","American Baptist Theological Seminary","1987",1940
"Georgia 6","Handel, KarenKaren Handel",NA,"Republican","businessman, non profit executive, Secretary of State of Georgia","","2017*",1962
"Georgia 7","Woodall, RobRob Woodall",NA,"Republican","Political aide, Attorney","Furman UniversityUniversity of Georgia","2011",1970
"Georgia 8","Scott, AustinAustin Scott",NA,"Republican","Georgia House of Representatives","University of Georgia","2011",1969
"Georgia 9","Collins, DougDoug Collins",NA,"Republican","Georgia House of Representatives","North Georgia CollegeNew Orleans Baptist Theological Seminary","2013",1966
"Georgia 10","Hice, JodyJody Hice",NA,"Republican","Radio show host, Southern Baptist pastor","Asbury UniversitySouthwestern Baptist Theological SeminaryLuther Rice Seminary","2015",1960
"Georgia 11","Loudermilk, BarryBarry Loudermilk",NA,"Republican","Georgia State Senate, Georgia House of Representatives","U.S. Air Force Community CollegeWayland Baptist University","2015",1963
"Georgia 12","Allen, Rick W.Rick W. Allen",NA,"Republican","Businessman","Auburn University","2015",1951
"Georgia 13","Scott, DavidDavid Scott",NA,"Democratic","Georgia State Senate, Georgia House of Representatives","Florida A&M University","2003",1945
"Georgia 14","Graves, TomTom Graves",NA,"Republican","Georgia House of Representatives,","University of Georgia","2010*",1970
"Hawaii 1","Hanabusa, ColleenColleen Hanabusa",NA,"Democratic","Hawaii Senate","University of Hawaii at Manoa","2016*",1951
"Hawaii 2","Gabbard, TulsiTulsi Gabbard",NA,"Democratic","Honolulu City Council, Hawaii House of Representatives","Hawaii Pacific UniversityOfficer Candidate School","2013",1981
"Idaho 1","Labrador, RaúlRaúl Labrador",NA,"Republican","Idaho House of Representatives","Brigham Young UniversityUniversity of Washington","2011",1967
"Idaho 2","Simpson, MikeMike Simpson",NA,"Republican","Speaker of the Idaho House of Representatives, Blackfoot, Idaho City Council","Utah State University","1999",1950
"Illinois 1","Rush, BobbyBobby Rush",NA,"Democratic","Chicago City Council","Roosevelt UniversityUniversity of IllinoisMcCormick Theological Seminary","1993",1946
"Illinois 2","Kelly, RobinRobin Kelly",NA,"Democratic","Illinois House of Representatives, Chief of Staff to the Illinois Treasurer, Chief Administrative Officer to the Cook County President","Bradley UniversityNorthern Illinois University","2013*",1956
"Illinois 3","Lipinski, DanDan Lipinski",NA,"Democratic","Member of the University of Notre Dame and University of Tennessee Faculty","Northwestern UniversityStanford UniversityDuke University","2005",1966
"Illinois 4","Gutiérrez, LuisLuis Gutiérrez",NA,"Democratic","Chicago City Council","Northeastern Illinois University","1993",1953
"Illinois 5","Quigley, MikeMike Quigley",NA,"Democratic","Cook County Board of Commissioners","Roosevelt UniversityLoyola University Chicago School of LawUniversity of Chicago","2009*",1958
"Illinois 6","Roskam, PeterPeter Roskam",NA,"Republican","Illinois Senate, Illinois House of Representatives","University of IllinoisChicago–Kent College of Law","2007",1961
"Illinois 7","Davis, Danny K.Danny K. Davis",NA,"Democratic","Chicago City Council, Cook County Board of Commissioners","University of Arkansas at Pine BluffChicago State UniversityUnion Institute and University","1997",1941
"Illinois 8","Krishnamoorthi, RajaRaja Krishnamoorthi",NA,"Democratic","Public Servant, Lawyer","Princeton UniversityHarvard Law School","2017",1973
"Illinois 9","Schakowsky, JanJan Schakowsky",NA,"Democratic","Illinois House of Representatives","University of Illinois","1999",1944
"Illinois 10","Schneider, BradBrad Schneider",NA,"Democratic","U.S. House","Northwestern University","2017",1961
"Illinois 11","Foster, BillBill Foster",NA,"Democratic","U.S. House","University of Wisconsin–MadisonHarvard University","2013",1955
"Illinois 12","Bost, MikeMike Bost",NA,"Republican","Illinois House of Representatives","University of Illinois","2015",1960
"Illinois 13","Davis, RodneyRodney Davis",NA,"Republican","Congressional Staffer","Millikin University","2013",1970
"Illinois 14","Hultgren, RandyRandy Hultgren",NA,"Republican","Illinois Senate, Illinois House of Representatives, DuPage County, Illinois Board of Commissioners","Bethel UniversityChicago-Kent College of Law","2011",1966
"Illinois 15","Shimkus, JohnJohn Shimkus",NA,"Republican","Madison County, Illinois Treasurer","United States Military AcademySouthern Illinois University","1997",1958
"Illinois 16","Kinzinger, AdamAdam Kinzinger",NA,"Republican","McLean County, Illinois Board of Commissioners","Illinois State University","2011",1978
"Illinois 17","Bustos, CheriCheri Bustos",NA,"Democratic","East Moline City Council","University of MarylandUniversity of Illinois at Springfield","2013",1961
"Illinois 18","LaHood, DarinDarin LaHood",NA,"Republican","Illinois Senate, Prosecutor U.S. Attorney's Office, Deputy Prosecutor Tazewell County, Illinois","John Marshall Law SchoolLoras College","2015*",1968
"Indiana 1","Visclosky, PetePete Visclosky",NA,"Democratic","Attorney, Congressional aide","Indiana University NorthwestUniversity of Notre DameGeorgetown University","1985",1949
"Indiana 2","Walorski, JackieJackie Walorski",NA,"Republican","Indiana House of Representatives","Liberty Baptist CollegeTaylor University","2013",1963
"Indiana 3","Banks, JimJim Banks",NA,"Republican","Indiana Senate","Indiana University BloomingtonGrace College & Seminary","2017",1979
"Indiana 4","Rokita, ToddTodd Rokita",NA,"Republican","Indiana Secretary of State","Wabash CollegeIndiana University Robert H. McKinney School of Law","2011",1970
"Indiana 5","Brooks, SusanSusan Brooks",NA,"Republican","U.S. Attorney for Southern Indiana, Deputy Mayor of Indianapolis","Miami UniversityIndiana University Robert H. McKinney School of Law","2013",1960
"Indiana 6","Messer, LukeLuke Messer",NA,"Republican","Indiana House of Representatives","Wabash CollegeVanderbilt University Law School","2013",1969
"Indiana 7","Carson, AndréAndré Carson",NA,"Democratic","Indianapolis City-County Council","Concordia University WisconsinIndiana Wesleyan University","2008*",1974
"Indiana 8","Bucshon, LarryLarry Bucshon",NA,"Republican","Heart Surgeon","University of Illinois at Urbana-ChampaignUniversity of Illinois Medical School","2011",1962
"Indiana 9","Hollingsworth, TreyTrey Hollingsworth",NA,"Republican","CEO of Hollingsworth Capital Partners","Georgetown UniversityUniversity of Pennsylvania","2017",1983
"Iowa 1","Blum, RodRod Blum",NA,"Republican","Businessman","Loras CollegeUniversity of Dubuque","2015",1955
"Iowa 2","Loebsack, DaveDave Loebsack",NA,"Democratic","Professor","Iowa State University","2007",1952
"Iowa 3","Young, DavidDavid Young",NA,"Republican","Congressional aide","Drake University","2015",1968
"Iowa 4","King, SteveSteve King",NA,"Republican","Iowa Senate","Northwest Missouri State University","2003",1949
"Kansas 1","Marshall, RogerRoger Marshall",NA,"Republican","Obstetrician","University of KansasKansas State University","2017",1960
"Kansas 2","Jenkins, LynnLynn Jenkins",NA,"Republican","Kansas State Treasurer, Kansas Senate, Kansas House of Representatives","Kansas State UniversityWeber State College","2009",1963
"Kansas 3","Yoder, KevinKevin Yoder",NA,"Republican","Kansas House of Representatives","University of KansasUniversity of Kansas Law School","2011",1976
"Kansas 4","Estes, RonRon Estes",NA,"Republican","Kansas State Treasurer","Tennessee Technological University","2017*",1956
"Kentucky 1","Comer, JamesJames Comer",NA,"Republican","Kentucky House of Representatives, Agriculture Commissioner of Kentucky","Western Kentucky University","2016*",1972
"Kentucky 2","Guthrie, BrettBrett Guthrie",NA,"Republican","Kentucky Senate","United States Military AcademyYale University","2009",1964
"Kentucky 3","Yarmuth, JohnJohn Yarmuth",NA,"Democratic","Newspaper Publisher, Vice-President for University Relations University of Louisville","Yale University","2007",1947
"Kentucky 4","Massie, ThomasThomas Massie",NA,"Republican","Judge-Executive of Lewis County, Kentucky","Massachusetts Institute of Technology","2012*",1971
"Kentucky 5","Rogers, HalHal Rogers",NA,"Republican","Commonwealth's Attorney for Pulaski and Rockcastle County, Kentucky","University of Kentucky","1981",1937
"Kentucky 6","Barr, AndyAndy Barr",NA,"Republican","Attorney","University of VirginiaUniversity of Kentucky College of Law","2013",1973
"Louisiana 1","Scalise, SteveSteve Scalise",NA,"Republican","Current House Majority WhipLouisiana State Senate, Louisiana House of Representatives","Louisiana State University","2008",1965
"Louisiana 2","Richmond, CedricCedric Richmond",NA,"Democratic","Louisiana House of Representatives","Morehouse CollegeTulane School of Law","2011",1973
"Louisiana 3","Higgins, ClayClay Higgins",NA,"Republican","Reserve Deputy Marshal of Lafayette, Louisiana","None","2017",1961
"Louisiana 4","Johnson, MikeMike Johnson",NA,"Republican","Louisiana House of Representatives","Louisiana State University","2017",1972
"Louisiana 5","Abraham, RalphRalph Abraham",NA,"Republican","Physician","Louisiana State UniversityLouisiana State University School of Medicine","2015",1954
"Louisiana 6","Graves, GarretGarret Graves",NA,"Republican","Louisiana Coastal Protection and Restoration Authority","","2015",1972
"Maine 1","Pingree, ChellieChellie Pingree",NA,"Democratic","Majority Leader Maine State Senate, President Common Cause","College of the Atlantic","2009",1955
"Maine 2","Poliquin, BruceBruce Poliquin",NA,"Republican","Maine State Treasurer","Harvard University","2015",1953
"Maryland 1","Harris, AndyAndy Harris",NA,"Republican","Maryland State Senate, Anesthesiologist","Johns Hopkins University","2011",1957
"Maryland 2","Ruppersberger, DutchDutch Ruppersberger",NA,"Democratic","Baltimore County Executive; Chief of the Office of Investigative Division for Maryland's Department of Justice; Baltimore County Assistant State's Attorney","University of MarylandUniversity of Baltimore","2003",1946
"Maryland 3","Sarbanes, JohnJohn Sarbanes",NA,"Democratic","Attorney, Law Clerk","Princeton UniversityHarvard Law School","2007",1962
"Maryland 4","Brown, Anthony G.Anthony G. Brown",NA,"Democratic","Lieutenant Governor of Maryland, Maryland House of Delegates","Harvard University","2017",1961
"Maryland 5","Hoyer, StenySteny Hoyer",NA,"Democratic","Current House Minority Whip
President of the Maryland State Senate, Maryland Board of Higher Education","University of MarylandGeorgetown University","1981*",1939
"Maryland 6","Delaney, JohnJohn Delaney",NA,"Democratic","Businessman","Columbia UniversityGeorgetown University Law Center","2013",1963
"Maryland 7","Cummings, ElijahElijah Cummings",NA,"Democratic","Speaker pro tempore of the Maryland House of Delegates","Howard UniversityUniversity of Maryland","1996*",1951
"Maryland 8","Raskin, JamieJamie Raskin",NA,"Democratic","Maryland State Senate Majority Whip","Harvard UniversityHarvard Law School","2017",1962
"Massachusetts 1","Neal, RichardRichard Neal",NA,"Democratic","Mayor of Springfield","American International CollegeUniversity of Hartford","1989",1949
"Massachusetts 2","McGovern, JimJim McGovern",NA,"Democratic","Congressional staff member","American University","1997",1959
"Massachusetts 3","Tsongas, NikiNiki Tsongas",NA,"Democratic","Dean of External Affairs at Middlesex Community College","Smith CollegeBoston University","2007*",1946
"Massachusetts 4","Kennedy, JoeJoe Kennedy",NA,"Democratic","Prosecutor, assistant district attorney","Stanford UniversityHarvard University","2013",1980
"Massachusetts 5","Clark, KatherineKatherine Clark",NA,"Democratic","Massachusetts Senate, Massachusetts House of Representatives, Attorney","St. Lawrence UniversityCornell UniversityHarvard University","2013*",1963
"Massachusetts 6","Moulton, SethSeth Moulton",NA,"Democratic","Businessman, Activist, U.S. Marine Corps Captain","Harvard University","2015",1978
"Massachusetts 7","Capuano, MikeMike Capuano",NA,"Democratic","Mayor of Somerville","Dartmouth CollegeBoston College Law School","1999",1952
"Massachusetts 8","Lynch, Stephen F.Stephen F. Lynch",NA,"Democratic","Massachusetts Senate, Massachusetts House of Representatives","Wentworth Institute of TechnologyBoston College Law School","2001*",1955
"Massachusetts 9","Keating, BillBill Keating",NA,"Democratic","Massachusetts House of Representatives, Massachusetts Senate, Norfolk County District Attorney","Boston CollegeSuffolk University Law School","2011",1952
"Michigan 1","Bergman, JackJack Bergman",NA,"Republican","U.S. Marine Corps Lieutenant General","Gustavus Adolphus CollegeUniversity of West FloridaCommand and General Staff CollegeSyracuse University","2017",1947
"Michigan 2","Huizenga, BillBill Huizenga",NA,"Republican","Michigan House of Representatives","Calvin College","2011",1969
"Michigan 3","Amash, JustinJustin Amash",NA,"Republican","Michigan House of Representatives","University of MichiganUniversity of Michigan Law School","2011",1980
